Region,País,Años,Sexo,15-19 Años,20-24 Años,N° de suicidios,G 15-19 Años,G 20-24 Años
Africa,Cabo Verde,1980,femenino,1.0,0.0,1.0,Boomers/Generación X,Boomers
Africa,Cabo Verde,1980,masculino,2.0,0.0,2.0,Boomers/Generación X,Boomers
Africa,Cabo Verde,2011,femenino,0.0,1.0,1.0,Generación Y,Generación Y
Africa,Cabo Verde,2011,masculino,1.0,4.0,5.0,Generación Y,Generación Y
Africa,Egypt,1973,femenino,2.0,3.0,5.0,Boomers,Boomers
Africa,Egypt,1973,masculino,3.0,0.0,3.0,Boomers,Boomers
Africa,Egypt,1974,femenino,0.0,2.0,2.0,Boomers,Boomers
Africa,Egypt,1974,masculino,4.0,2.0,6.0,Boomers,Boomers
Africa,Egypt,1975,femenino,2.0,3.0,5.0,Boomers,Boomers
Africa,Egypt,1975,masculino,2.0,3.0,5.0,Boomers,Boomers
Africa,Egypt,1976,femenino,1.0,2.0,3.0,Boomers,Boomers
Africa,Egypt,1976,masculino,6.0,2.0,8.0,Boomers,Boomers
Africa,Egypt,1977,femenino,3.0,2.0,5.0,Boomers,Boomers
Africa,Egypt,1977,masculino,6.0,6.0,12.0,Boomers,Boomers
Africa,Egypt,1978,femenino,2.0,1.0,3.0,Boomers,Boomers
Africa,Egypt,1978,masculino,7.0,7.0,14.0,Boomers,Boomers
Africa,Egypt,1979,femenino,3.0,3.0,6.0,Boomers,Boomers
Africa,Egypt,1979,masculino,3.0,6.0,9.0,Boomers,Boomers
Africa,Egypt,1980,femenino,2.0,1.0,3.0,Boomers/Generación X,Boomers
Africa,Egypt,1980,masculino,1.0,1.0,2.0,Boomers/Generación X,Boomers
Africa,Egypt,1987,femenino,1.0,1.0,2.0,Generación X,Boomers/Generación X
Africa,Egypt,1987,masculino,0.0,1.0,1.0,Generación X,Boomers/Generación X
Africa,Egypt,2000,femenino,2.0,1.0,3.0,Generación X/Generación Y,Generación X
Africa,Egypt,2000,masculino,6.0,10.0,16.0,Generación X/Generación Y,Generación X
Africa,Egypt,2001,femenino,3.0,3.0,6.0,Generación Y,Generación X
Africa,Egypt,2001,masculino,3.0,7.0,10.0,Generación Y,Generación X
Africa,Egypt,2002,femenino,6.0,1.0,7.0,Generación Y,Generación X/Generación Y
Africa,Egypt,2002,masculino,3.0,2.0,5.0,Generación Y,Generación X/Generación Y
Africa,Egypt,2003,femenino,5.0,3.0,8.0,Generación Y,Generación X/Generación Y
Africa,Egypt,2003,masculino,8.0,6.0,14.0,Generación Y,Generación X/Generación Y
Africa,Egypt,2004,femenino,4.0,1.0,5.0,Generación Y,Generación X/Generación Y
Africa,Egypt,2004,masculino,4.0,5.0,9.0,Generación Y,Generación X/Generación Y
Africa,Egypt,2005,femenino,2.0,3.0,5.0,Generación Y,Generación X/Generación Y
Africa,Egypt,2005,masculino,3.0,10.0,13.0,Generación Y,Generación X/Generación Y
Africa,Egypt,2006,femenino,6.0,1.0,7.0,Generación Y,Generación Y
Africa,Egypt,2006,masculino,5.0,5.0,10.0,Generación Y,Generación Y
Africa,Egypt,2007,femenino,3.0,2.0,5.0,Generación Y,Generación Y
Africa,Egypt,2007,masculino,1.0,3.0,4.0,Generación Y,Generación Y
Africa,Egypt,2008,femenino,1.0,5.0,6.0,Generación Y,Generación Y
Africa,Egypt,2008,masculino,2.0,6.0,8.0,Generación Y,Generación Y
Africa,Egypt,2009,femenino,3.0,0.0,3.0,Generación Y,Generación Y
Africa,Egypt,2009,masculino,2.0,8.0,10.0,Generación Y,Generación Y
Africa,Egypt,2010,femenino,4.0,4.0,8.0,Generación Y,Generación Y
Africa,Egypt,2010,masculino,6.0,4.0,10.0,Generación Y,Generación Y
Africa,Egypt,2011,femenino,4.0,4.0,8.0,Generación Y,Generación Y
Africa,Egypt,2011,masculino,18.0,26.0,44.0,Generación Y,Generación Y
Africa,Egypt,2012,femenino,14.0,3.0,17.0,Generación Y/Generación Z,Generación Y
Africa,Egypt,2012,masculino,32.0,25.0,57.0,Generación Y/Generación Z,Generación Y
