Region,País,Años,Sexo,5-9 Años,10-14 Años,N° de suicidios,G 5-9 Años,G 10-14 Años
Africa,Cabo Verde,2011,masculino,0.0,3.0,3.0,Generación Z,Generación Z
Africa,Egypt,1973,femenino,1.0,1.0,2.0,Boomers/Generación X,Boomers
Africa,Egypt,1973,masculino,2.0,1.0,3.0,Boomers/Generación X,Boomers
Africa,Egypt,1974,femenino,0.0,1.0,1.0,Generación X,Boomers
Africa,Egypt,1974,masculino,0.0,1.0,1.0,Generación X,Boomers
Africa,Egypt,1975,femenino,0.0,1.0,1.0,Generación X,Boomers/Generación X
Africa,Egypt,1975,masculino,5.0,3.0,8.0,Generación X,Boomers/Generación X
Africa,Egypt,1977,femenino,0.0,3.0,3.0,Generación X,Boomers/Generación X
Africa,Egypt,1977,masculino,0.0,3.0,3.0,Generación X,Boomers/Generación X
Africa,Egypt,1978,femenino,1.0,1.0,2.0,Generación X,Boomers/Generación X
Africa,Egypt,1978,masculino,3.0,4.0,7.0,Generación X,Boomers/Generación X
Africa,Egypt,1979,femenino,2.0,2.0,4.0,Generación X,Generación X
Africa,Egypt,1979,masculino,4.0,3.0,7.0,Generación X,Generación X
Africa,Egypt,2000,femenino,1.0,1.0,2.0,Generación Y,Generación Y
Africa,Egypt,2000,masculino,1.0,1.0,2.0,Generación Y,Generación Y
Africa,Egypt,2001,femenino,0.0,2.0,2.0,Generación Y,Generación Y
Africa,Egypt,2001,masculino,0.0,1.0,1.0,Generación Y,Generación Y
Africa,Egypt,2002,femenino,2.0,4.0,6.0,Generación Y/Generación Z,Generación Y
Africa,Egypt,2002,masculino,1.0,1.0,2.0,Generación Y/Generación Z,Generación Y
Africa,Egypt,2003,femenino,2.0,1.0,3.0,Generación Y/Generación Z,Generación Y
Africa,Egypt,2003,masculino,2.0,0.0,2.0,Generación Y/Generación Z,Generación Y
Africa,Egypt,2004,femenino,1.0,1.0,2.0,Generación Y/Generación Z,Generación Y
Africa,Egypt,2004,masculino,2.0,0.0,2.0,Generación Y/Generación Z,Generación Y
Africa,Egypt,2005,femenino,0.0,3.0,3.0,Generación Y/Generación Z,Generación Y
Africa,Egypt,2005,masculino,0.0,1.0,1.0,Generación Y/Generación Z,Generación Y
Africa,Egypt,2006,femenino,1.0,1.0,2.0,Generación Z,Generación Y
Africa,Egypt,2006,masculino,1.0,1.0,2.0,Generación Z,Generación Y
Africa,Egypt,2007,femenino,0.0,2.0,2.0,Generación Z,Generación Y/Generación Z
Africa,Egypt,2007,masculino,0.0,3.0,3.0,Generación Z,Generación Y/Generación Z
Africa,Egypt,2008,femenino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Africa,Egypt,2009,femenino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Africa,Egypt,2009,masculino,2.0,1.0,3.0,Generación Z,Generación Y/Generación Z
Africa,Egypt,2010,femenino,2.0,0.0,2.0,Generación Z,Generación Y/Generación Z
Africa,Egypt,2010,masculino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Africa,Egypt,2011,femenino,2.0,2.0,4.0,Generación Z,Generación Z
Africa,Egypt,2011,masculino,1.0,7.0,8.0,Generación Z,Generación Z
Africa,Egypt,2012,femenino,2.0,3.0,5.0,Generación Z,Generación Z
Africa,Egypt,2012,masculino,5.0,3.0,8.0,Generación Z,Generación Z
Africa,Egypt,2013,femenino,1.0,2.0,3.0,Generación Z,Generación Z
Africa,Egypt,2013,masculino,2.0,5.0,7.0,Generación Z,Generación Z
Africa,Egypt,2014,masculino,3.0,0.0,3.0,Generación Z,Generación Z
Africa,Egypt,2015,femenino,0.0,1.0,1.0,Generación Z,Generación Z
Africa,Egypt,2015,masculino,1.0,1.0,2.0,Generación Z,Generación Z
Africa,Egypt,2016,masculino,2.0,2.0,4.0,Generación Z,Generación Z
Africa,Egypt,2017,femenino,0.0,1.0,1.0,Generación Z,Generación Z
Africa,Egypt,2017,masculino,1.0,1.0,2.0,Generación Z,Generación Z
Africa,Egypt,2018,femenino,1.0,1.0,2.0,Generación Z/Generación Alfa,Generación Z
Africa,Egypt,2018,masculino,0.0,3.0,3.0,Generación Z/Generación Alfa,Generación Z
Africa,Egypt,2019,femenino,1.0,0.0,1.0,Generación Z/Generación Alfa,Generación Z
Africa,Egypt,2019,masculino,1.0,6.0,7.0,Generación Z/Generación Alfa,Generación Z
Africa,Mauritius,1973,femenino,0.0,1.0,1.0,Boomers/Generación X,Boomers
Africa,Mauritius,1975,femenino,0.0,2.0,2.0,Generación X,Boomers/Generación X
Africa,Mauritius,1975,masculino,0.0,2.0,2.0,Generación X,Boomers/Generación X
Africa,Mauritius,1976,masculino,0.0,1.0,1.0,Generación X,Boomers/Generación X
Africa,Mauritius,1978,masculino,0.0,1.0,1.0,Generación X,Boomers/Generación X
Africa,Mauritius,1981,femenino,0.0,3.0,3.0,Generación X,Generación X
Africa,Mauritius,1983,femenino,0.0,2.0,2.0,Generación X,Generación X
Africa,Mauritius,1983,masculino,0.0,1.0,1.0,Generación X,Generación X
Africa,Mauritius,1984,femenino,0.0,4.0,4.0,Generación X,Generación X
Africa,Mauritius,1984,masculino,0.0,1.0,1.0,Generación X,Generación X
Africa,Mauritius,1985,masculino,0.0,1.0,1.0,Generación X,Generación X
Africa,Mauritius,1987,femenino,0.0,4.0,4.0,Generación X/Generación Y,Generación X
Africa,Mauritius,1988,femenino,0.0,2.0,2.0,Generación X/Generación Y,Generación X
Africa,Mauritius,1988,masculino,0.0,1.0,1.0,Generación X/Generación Y,Generación X
Africa,Mauritius,1989,femenino,0.0,5.0,5.0,Generación X/Generación Y,Generación X
Africa,Mauritius,1990,femenino,0.0,3.0,3.0,Generación X/Generación Y,Generación X
Africa,Mauritius,1990,masculino,0.0,1.0,1.0,Generación X/Generación Y,Generación X
Africa,Mauritius,1991,femenino,0.0,3.0,3.0,Generación Y,Generación X
Africa,Mauritius,1992,femenino,0.0,4.0,4.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,1992,masculino,0.0,1.0,1.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,1993,femenino,0.0,2.0,2.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,1993,masculino,0.0,2.0,2.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,1994,femenino,0.0,1.0,1.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,1995,femenino,0.0,2.0,2.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,1995,masculino,0.0,1.0,1.0,Generación Y,Generación X/Generación Y
Africa,Mauritius,1996,femenino,0.0,2.0,2.0,Generación Y,Generación Y
Africa,Mauritius,1997,femenino,0.0,1.0,1.0,Generación Y,Generación Y
Africa,Mauritius,1997,masculino,0.0,1.0,1.0,Generación Y,Generación Y
Africa,Mauritius,1998,masculino,0.0,2.0,2.0,Generación Y,Generación Y
Africa,Mauritius,1999,masculino,0.0,1.0,1.0,Generación Y,Generación Y
Africa,Mauritius,2001,femenino,0.0,1.0,1.0,Generación Y,Generación Y
Africa,Mauritius,2001,masculino,0.0,1.0,1.0,Generación Y,Generación Y
Africa,Mauritius,2003,masculino,0.0,1.0,1.0,Generación Y/Generación Z,Generación Y
Africa,Mauritius,2005,masculino,0.0,1.0,1.0,Generación Y/Generación Z,Generación Y
Africa,Mauritius,2006,femenino,0.0,1.0,1.0,Generación Z,Generación Y
Africa,Mauritius,2007,femenino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Africa,Mauritius,2008,femenino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Africa,Mauritius,2009,femenino,0.0,3.0,3.0,Generación Z,Generación Y/Generación Z
Africa,Mauritius,2009,masculino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Africa,Mauritius,2011,femenino,0.0,1.0,1.0,Generación Z,Generación Z
Africa,Mauritius,2012,femenino,0.0,2.0,2.0,Generación Z,Generación Z
Africa,Mauritius,2012,masculino,0.0,1.0,1.0,Generación Z,Generación Z
Africa,Mauritius,2013,femenino,0.0,2.0,2.0,Generación Z,Generación Z
Africa,Mauritius,2014,femenino,0.0,3.0,3.0,Generación Z,Generación Z
Africa,Mauritius,2017,femenino,0.0,3.0,3.0,Generación Z,Generación Z
Africa,Mauritius,2020,masculino,0.0,1.0,1.0,Generación Z/Generación Alfa,Generación Z
Africa,R?union,2002,masculino,0.0,2.0,2.0,Generación Y/Generación Z,Generación Y
Africa,R?union,2007,masculino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Africa,R?union,2010,masculino,0.0,3.0,3.0,Generación Z,Generación Y/Generación Z
Africa,R?union,2011,masculino,0.0,1.0,1.0,Generación Z,Generación Z
Africa,R?union,2014,femenino,0.0,1.0,1.0,Generación Z,Generación Z
Africa,Seychelles,2005,femenino,1.0,0.0,1.0,Generación Y/Generación Z,Generación Y
Africa,Seychelles,2019,femenino,1.0,0.0,1.0,Generación Z/Generación Alfa,Generación Z
Africa,South Africa,1996,masculino,0.0,2.0,2.0,Generación Y,Generación Y
Africa,South Africa,1998,femenino,0.0,2.0,2.0,Generación Y,Generación Y
Africa,South Africa,1998,masculino,0.0,3.0,3.0,Generación Y,Generación Y
Africa,South Africa,1999,femenino,0.0,2.0,2.0,Generación Y,Generación Y
Africa,South Africa,1999,masculino,0.0,4.0,4.0,Generación Y,Generación Y
Africa,South Africa,2000,femenino,0.0,1.0,1.0,Generación Y,Generación Y
Africa,South Africa,2000,masculino,0.0,5.0,5.0,Generación Y,Generación Y
Africa,South Africa,2001,femenino,0.0,3.0,3.0,Generación Y,Generación Y
Africa,South Africa,2001,masculino,0.0,4.0,4.0,Generación Y,Generación Y
Africa,South Africa,2002,femenino,0.0,1.0,1.0,Generación Y/Generación Z,Generación Y
Africa,South Africa,2002,masculino,0.0,5.0,5.0,Generación Y/Generación Z,Generación Y
Africa,South Africa,2003,femenino,0.0,3.0,3.0,Generación Y/Generación Z,Generación Y
Africa,South Africa,2003,masculino,0.0,4.0,4.0,Generación Y/Generación Z,Generación Y
Africa,South Africa,2004,femenino,0.0,3.0,3.0,Generación Y/Generación Z,Generación Y
Africa,South Africa,2004,masculino,0.0,8.0,8.0,Generación Y/Generación Z,Generación Y
Africa,South Africa,2005,femenino,0.0,4.0,4.0,Generación Y/Generación Z,Generación Y
Africa,South Africa,2005,masculino,0.0,4.0,4.0,Generación Y/Generación Z,Generación Y
Africa,South Africa,2006,femenino,0.0,7.0,7.0,Generación Z,Generación Y
Africa,South Africa,2006,masculino,0.0,9.0,9.0,Generación Z,Generación Y
Africa,South Africa,2007,femenino,0.0,2.0,2.0,Generación Z,Generación Y/Generación Z
Africa,South Africa,2007,masculino,0.0,6.0,6.0,Generación Z,Generación Y/Generación Z
Africa,South Africa,2008,femenino,0.0,4.0,4.0,Generación Z,Generación Y/Generación Z
Africa,South Africa,2008,masculino,0.0,3.0,3.0,Generación Z,Generación Y/Generación Z
Africa,South Africa,2009,femenino,0.0,2.0,2.0,Generación Z,Generación Y/Generación Z
Africa,South Africa,2009,masculino,0.0,6.0,6.0,Generación Z,Generación Y/Generación Z
Africa,South Africa,2010,femenino,0.0,2.0,2.0,Generación Z,Generación Y/Generación Z
Africa,South Africa,2010,masculino,0.0,8.0,8.0,Generación Z,Generación Y/Generación Z
Africa,South Africa,2011,femenino,0.0,2.0,2.0,Generación Z,Generación Z
Africa,South Africa,2011,masculino,1.0,0.0,1.0,Generación Z,Generación Z
Africa,South Africa,2012,femenino,0.0,7.0,7.0,Generación Z,Generación Z
Africa,South Africa,2012,masculino,0.0,7.0,7.0,Generación Z,Generación Z
Africa,South Africa,2013,femenino,1.0,7.0,8.0,Generación Z,Generación Z
Africa,South Africa,2013,masculino,0.0,7.0,7.0,Generación Z,Generación Z
Africa,South Africa,2014,femenino,0.0,3.0,3.0,Generación Z,Generación Z
Africa,South Africa,2014,masculino,0.0,4.0,4.0,Generación Z,Generación Z
Africa,South Africa,2015,femenino,0.0,6.0,6.0,Generación Z,Generación Z
Africa,South Africa,2015,masculino,2.0,9.0,11.0,Generación Z,Generación Z
Africa,South Africa,2016,femenino,1.0,3.0,4.0,Generación Z,Generación Z
Africa,South Africa,2016,masculino,0.0,11.0,11.0,Generación Z,Generación Z
Africa,South Africa,2017,femenino,0.0,11.0,11.0,Generación Z,Generación Z
Africa,South Africa,2017,masculino,1.0,5.0,6.0,Generación Z,Generación Z
Africa,South Africa,2018,femenino,0.0,6.0,6.0,Generación Z/Generación Alfa,Generación Z
Africa,South Africa,2018,masculino,1.0,5.0,6.0,Generación Z/Generación Alfa,Generación Z
Asia,Armenia,1981,masculino,0.0,1.0,1.0,Generación X,Generación X
Asia,Armenia,1987,masculino,0.0,1.0,1.0,Generación X/Generación Y,Generación X
Asia,Armenia,1988,femenino,0.0,1.0,1.0,Generación X/Generación Y,Generación X
Asia,Armenia,1994,femenino,0.0,1.0,1.0,Generación Y,Generación X/Generación Y
Asia,Armenia,1994,masculino,0.0,2.0,2.0,Generación Y,Generación X/Generación Y
Asia,Armenia,1995,masculino,0.0,1.0,1.0,Generación Y,Generación X/Generación Y
Asia,Armenia,1996,femenino,0.0,1.0,1.0,Generación Y,Generación Y
Asia,Armenia,1996,masculino,0.0,1.0,1.0,Generación Y,Generación Y
Asia,Armenia,1997,masculino,0.0,1.0,1.0,Generación Y,Generación Y
Asia,Armenia,1998,femenino,0.0,1.0,1.0,Generación Y,Generación Y
Asia,Armenia,2001,masculino,0.0,3.0,3.0,Generación Y,Generación Y
Asia,Armenia,2002,masculino,0.0,1.0,1.0,Generación Y/Generación Z,Generación Y
Asia,Armenia,2003,masculino,0.0,1.0,1.0,Generación Y/Generación Z,Generación Y
Asia,Armenia,2006,masculino,0.0,1.0,1.0,Generación Z,Generación Y
Asia,Armenia,2007,masculino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Asia,Armenia,2008,femenino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Asia,Armenia,2008,masculino,0.0,1.0,1.0,Generación Z,Generación Y/Generación Z
Asia,Armenia,2010,femenino,0.0,2.0,2.0,Generación Z,Generación Y/Generación Z
Asia,Armenia,2010,masculino,0.0,2.0,2.0,Generación Z,Generación Y/Generación Z
Asia,Armenia,2012,masculino,0.0,1.0,1.0,Generación Z,Generación Z
Asia,Armenia,2013,masculino,0.0,1.0,1.0,Generación Z,Generación Z
Asia,Armenia,2014,femenino,0.0,1.0,1.0,Generación Z,Generación Z
Asia,Armenia,2018,femenino,0.0,1.0,1.0,Generación Z/Generación Alfa,Generación Z
Asia,Azerbaijan,1981,femenino,0.0,2.0,2.0,Generación X,Generación X
Asia,Azerbaijan,1981,masculino,0.0,4.0,4.0,Generación X,Generación X
Asia,Azerbaijan,1982,femenino,0.0,3.0,3.0,Generación X,Generación X
Asia,Azerbaijan,1985,masculino,0.0,2.0,2.0,Generación X,Generación X
