Region,País,Años,Sexo,60-64 Años,65-69 Años,N° de suicidios,G 60-64 Años,G 65-69 Años
Africa,Cabo Verde,1980,masculino,0.0,1.0,1.0,Grandiosos,Grandiosos
Africa,Egypt,1973,masculino,0.0,1.0,1.0,Grandiosos,Grandiosos
Africa,Egypt,1974,masculino,1.0,0.0,1.0,Grandiosos,Grandiosos
Africa,Egypt,1975,femenino,1.0,0.0,1.0,Grandiosos,Grandiosos
Africa,Egypt,1975,masculino,2.0,0.0,2.0,Grandiosos,Grandiosos
Africa,Egypt,1976,femenino,1.0,2.0,3.0,Grandiosos,Grandiosos
Africa,Egypt,1976,masculino,1.0,1.0,2.0,Grandiosos,Grandiosos
Africa,Egypt,1977,femenino,1.0,1.0,2.0,Grandiosos,Grandiosos
Africa,Egypt,1977,masculino,2.0,4.0,6.0,Grandiosos,Grandiosos
Africa,Egypt,1978,masculino,4.0,1.0,5.0,Grandiosos,Grandiosos
Africa,Egypt,1979,femenino,1.0,0.0,1.0,Grandiosos,Grandiosos
Africa,Egypt,1979,masculino,1.0,2.0,3.0,Grandiosos,Grandiosos
Africa,Egypt,1987,masculino,0.0,2.0,2.0,Grandiosos,Grandiosos
Africa,Egypt,2001,femenino,0.0,2.0,2.0,Silenciosos,Silenciosos
Africa,Egypt,2002,femenino,0.0,1.0,1.0,Silenciosos,Silenciosos
Africa,Egypt,2004,femenino,2.0,0.0,2.0,Silenciosos,Silenciosos
Africa,Egypt,2005,masculino,0.0,1.0,1.0,Silenciosos,Silenciosos
Africa,Egypt,2006,masculino,1.0,0.0,1.0,Silenciosos/Boomers,Silenciosos
Africa,Egypt,2007,masculino,0.0,1.0,1.0,Silenciosos/Boomers,Silenciosos
Africa,Egypt,2008,masculino,1.0,1.0,2.0,Silenciosos/Boomers,Silenciosos
Africa,Egypt,2009,femenino,2.0,1.0,3.0,Silenciosos/Boomers,Silenciosos
Africa,Egypt,2009,masculino,0.0,2.0,2.0,Silenciosos/Boomers,Silenciosos
Africa,Egypt,2010,masculino,1.0,1.0,2.0,Boomers,Silenciosos
Africa,Egypt,2011,femenino,1.0,0.0,1.0,Boomers,Silenciosos/Boomers
Africa,Egypt,2011,masculino,2.0,3.0,5.0,Boomers,Silenciosos/Boomers
Africa,Egypt,2012,masculino,6.0,2.0,8.0,Boomers,Silenciosos/Boomers
Africa,Egypt,2013,femenino,1.0,0.0,1.0,Boomers,Silenciosos/Boomers
Africa,Egypt,2013,masculino,6.0,0.0,6.0,Boomers,Silenciosos/Boomers
Africa,Egypt,2014,masculino,2.0,2.0,4.0,Boomers,Silenciosos/Boomers
Africa,Egypt,2015,femenino,1.0,0.0,1.0,Boomers,Boomers
Africa,Egypt,2015,masculino,1.0,0.0,1.0,Boomers,Boomers
Africa,Egypt,2016,masculino,1.0,1.0,2.0,Boomers,Boomers
Africa,Egypt,2017,femenino,1.0,0.0,1.0,Boomers,Boomers
Africa,Egypt,2017,masculino,1.0,1.0,2.0,Boomers,Boomers
Africa,Egypt,2018,femenino,1.0,0.0,1.0,Boomers,Boomers
Africa,Egypt,2018,masculino,3.0,0.0,3.0,Boomers,Boomers
Africa,Egypt,2019,masculino,3.0,0.0,3.0,Boomers,Boomers
Africa,Mauritius,1969,masculino,2.0,0.0,2.0,Grandiosos,Grandiosos
Africa,Mauritius,1970,masculino,0.0,2.0,2.0,Grandiosos,Grandiosos
Africa,Mauritius,1971,masculino,1.0,1.0,2.0,Grandiosos,Grandiosos
Africa,Mauritius,1972,masculino,0.0,3.0,3.0,Grandiosos,Grandiosos
Africa,Mauritius,1973,masculino,2.0,2.0,4.0,Grandiosos,Grandiosos
Africa,Mauritius,1974,masculino,2.0,0.0,2.0,Grandiosos,Grandiosos
Africa,Mauritius,1975,femenino,1.0,0.0,1.0,Grandiosos,Grandiosos
