Region,País,Años,Sexo,25-29 Años,30-34 Años,N° de suicidios,G 25-29 Años,G 30-34 Años
Africa,Cabo Verde,2011,masculino,5.0,3.0,8.0,Generación Y,Generación X
Africa,Egypt,1973,femenino,0.0,1.0,1.0,Silenciosos/Boomers,Silenciosos
Africa,Egypt,1973,masculino,3.0,0.0,3.0,Silenciosos/Boomers,Silenciosos
Africa,Egypt,1974,masculino,2.0,2.0,4.0,Silenciosos/Boomers,Silenciosos
Africa,Egypt,1975,femenino,2.0,0.0,2.0,Boomers,Silenciosos
Africa,Egypt,1975,masculino,5.0,3.0,8.0,Boomers,Silenciosos
Africa,Egypt,1976,femenino,2.0,2.0,4.0,Boomers,Silenciosos/Boomers
Africa,Egypt,1976,masculino,3.0,0.0,3.0,Boomers,Silenciosos/Boomers
Africa,Egypt,1977,femenino,5.0,4.0,9.0,Boomers,Silenciosos/Boomers
Africa,Egypt,1977,masculino,4.0,6.0,10.0,Boomers,Silenciosos/Boomers
Africa,Egypt,1978,femenino,2.0,3.0,5.0,Boomers,Silenciosos/Boomers
Africa,Egypt,1978,masculino,5.0,2.0,7.0,Boomers,Silenciosos/Boomers
Africa,Egypt,1979,femenino,2.0,1.0,3.0,Boomers,Silenciosos/Boomers
Africa,Egypt,1979,masculino,2.0,3.0,5.0,Boomers,Silenciosos/Boomers
Africa,Egypt,1980,masculino,2.0,1.0,3.0,Boomers,Boomers
Africa,Egypt,1987,femenino,0.0,1.0,1.0,Boomers,Boomers
Africa,Egypt,1987,masculino,2.0,1.0,3.0,Boomers,Boomers
Africa,Egypt,2000,femenino,1.0,1.0,2.0,Generación X,Generación X
Africa,Egypt,2000,masculino,6.0,1.0,7.0,Generación X,Generación X
Africa,Egypt,2001,femenino,3.0,0.0,3.0,Generación X,Generación X
Africa,Egypt,2001,masculino,7.0,1.0,8.0,Generación X,Generación X
Africa,Egypt,2002,masculino,5.0,3.0,8.0,Generación X,Generación X
Africa,Egypt,2003,femenino,1.0,0.0,1.0,Generación X,Generación X
Africa,Egypt,2003,masculino,2.0,2.0,4.0,Generación X,Generación X
Africa,Egypt,2004,femenino,2.0,0.0,2.0,Generación X,Generación X
Africa,Egypt,2004,masculino,9.0,5.0,14.0,Generación X,Generación X
